Category: All categories

Country,big data analytics: (1/1/04 - 5/17/21)
Singapore,100
St. Helena,95
India,90
Zimbabwe,81
Ethiopia,58
Hong Kong,52
Malaysia,46
Kenya,46
Sri Lanka,46
United Arab Emirates,40
Ireland,30
South Africa,27
Ghana,
Nigeria,25
Bangladesh,24
Australia,24
Pakistan,24
South Korea,24
United States,21
Oman,
United Kingdom,20
Canada,19
Philippines,18
Morocco,15
Netherlands,14
Thailand,13
Norway,13
Denmark,13
Egypt,13
New Zealand,12
Taiwan,12
Greece,12
Israel,12
Palestine,
Switzerland,12
Portugal,12
Germany,11
Saudi Arabia,11
Vietnam,10
Sweden,10
Côte d’Ivoire,
Spain,10
Indonesia,10
Italy,9
Belgium,9
Brazil,9
China,9
Finland,9
Peru,8
Ecuador,
Colombia,8
Austria,7
France,6
Chile,5
Iran,5
Kazakhstan,
Mexico,5
Belarus,
Argentina,4
Romania,4
Russia,3
Turkey,3
Ukraine,3
Poland,2
Japan,1
Rwanda,
Solomon Islands,
Botswana,
Gambia,
U.S. Virgin Islands,
Greenland,
Mauritius,
Faroe Islands,
Grenada,
Nepal,
Burundi,
Suriname,
Macao,
Jamaica,
Eswatini,
Liberia,
Senegal,
Bahrain,
Uganda,
Fiji,
Bermuda,
Trinidad & Tobago,
Namibia,
Qatar,
New Caledonia,
Tanzania,
Sierra Leone,
Angola,
Maldives,
Barbados,
Curaçao,
Lebanon,
Afghanistan,
Laos,
Myanmar (Burma),
Brunei,
Mongolia,
Isle of Man,
Luxembourg,
Belize,
Tunisia,
Costa Rica,
Madagascar,
Jordan,
Albania,
Armenia,
Malawi,
Somalia,
Panama,
Benin,
Turkmenistan,
Kuwait,
Latvia,
Syria,
Burkina Faso,
Zambia,
Mozambique,
Cyprus,
Uruguay,
Georgia,
Malta,
Puerto Rico,
Nicaragua,
Algeria,
Estonia,
Martinique,
Serbia,
Uzbekistan,
Bulgaria,
Guatemala,
Slovenia,
Lithuania,
Réunion,
Moldova,
Sudan,
Croatia,
El Salvador,
Azerbaijan,
Dominican Republic,
Czechia,
Montenegro,
North Macedonia,
Kosovo,
Iceland,
Slovakia,
Cambodia,
Cameroon,
Hungary,
Bolivia,
Honduras,
Iraq,
Bosnia & Herzegovina,
Paraguay,
Venezuela,
Yemen,
Kyrgyzstan,
Aruba,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Caribbean Netherlands,
Bahamas,
St. Barthélemy,
Bhutan,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Micronesia,
Gabon,
Guernsey,
Gibraltar,
Guinea,
Guadeloupe,
Guinea-Bissau,
Equatorial Guinea,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Haiti,
British Indian Ocean Territory,
Jersey,
Kiribati,
St. Kitts & Nevis,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
St. Martin,
Monaco,
Marshall Islands,
Mali,
Northern Mariana Islands,
Mauritania,
Montserrat,
Mayotte,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
French Polynesia,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
