Category: All categories

Month,big data analytics: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,1
2010-04,0
2010-05,1
2010-06,0
2010-07,1
2010-08,1
2010-09,0
2010-10,1
2010-11,1
2010-12,0
2011-01,0
2011-02,2
2011-03,2
2011-04,0
2011-05,1
2011-06,1
2011-07,4
2011-08,4
2011-09,7
2011-10,4
2011-11,4
2011-12,7
2012-01,12
2012-02,14
2012-03,19
2012-04,17
2012-05,16
2012-06,18
2012-07,19
2012-08,21
2012-09,24
2012-10,31
2012-11,21
2012-12,30
2013-01,28
2013-02,36
2013-03,31
2013-04,35
2013-05,40
2013-06,37
2013-07,51
2013-08,49
2013-09,46
2013-10,49
2013-11,52
2013-12,40
2014-01,45
2014-02,55
2014-03,62
2014-04,66
2014-05,58
2014-06,50
2014-07,61
2014-08,58
2014-09,61
2014-10,57
2014-11,74
2014-12,66
2015-01,68
2015-02,75
2015-03,75
2015-04,66
2015-05,71
2015-06,76
2015-07,62
2015-08,81
2015-09,83
2015-10,76
2015-11,72
2015-12,65
2016-01,70
2016-02,83
2016-03,76
2016-04,80
2016-05,87
2016-06,85
2016-07,84
2016-08,86
2016-09,90
2016-10,95
2016-11,100
2016-12,88
2017-01,84
2017-02,98
2017-03,100
2017-04,90
2017-05,96
2017-06,91
2017-07,98
2017-08,93
2017-09,95
2017-10,94
2017-11,89
2017-12,77
2018-01,93
2018-02,90
2018-03,89
2018-04,80
2018-05,78
2018-06,76
2018-07,77
2018-08,79
2018-09,84
2018-10,90
2018-11,85
2018-12,75
2019-01,74
2019-02,91
2019-03,79
2019-04,87
2019-05,87
2019-06,77
2019-07,87
2019-08,83
2019-09,89
2019-10,85
2019-11,94
2019-12,85
2020-01,80
2020-02,80
2020-03,72
2020-04,70
2020-05,74
2020-06,80
2020-07,72
2020-08,80
2020-09,82
2020-10,72
2020-11,79
2020-12,65
2021-01,62
2021-02,73
2021-03,70
2021-04,72
2021-05,72
