Category: All categories

Country,internet of things: (1/1/04 - 5/17/21)
Rwanda,
St. Helena,100
Eswatini,
Botswana,
Singapore,64
Papua New Guinea,
Lesotho,
Zimbabwe,
Malawi,
Ethiopia,
Mauritius,
Ghana,49
Kenya,49
Somalia,
Bhutan,
Philippines,40
South Africa,40
Nigeria,40
India,39
Uganda,
Oman,36
Malaysia,34
Sri Lanka,33
Hong Kong,32
Pakistan,32
Zambia,
Jamaica,
Ireland,29
United Arab Emirates,29
Malta,
South Korea,27
Lebanon,27
Nepal,
United Kingdom,26
Netherlands,25
Cyprus,
Tunisia,24
Australia,23
New Zealand,22
Brunei,
Jersey,
United States,22
Sweden,21
Myanmar (Burma),
Switzerland,20
Denmark,20
Laos,
Canada,19
Finland,19
Norway,18
Belgium,18
Bahrain,
Thailand,17
Greece,16
Estonia,
Jordan,16
Sudan,
Indonesia,16
Tanzania,
Bangladesh,15
China,14
Austria,14
Germany,14
Taiwan,13
Portugal,13
Cambodia,
Latvia,
Egypt,12
Croatia,12
Iran,12
Italy,12
Slovenia,
Vietnam,11
Saudi Arabia,10
Israel,10
Serbia,10
Romania,10
Kuwait,
Slovakia,9
Morocco,9
Iraq,
Spain,8
Algeria,8
Czechia,8
Qatar,
Bulgaria,7
Costa Rica,
Azerbaijan,
Lithuania,
Puerto Rico,
Palestine,
Belarus,
Uzbekistan,
Colombia,6
Syria,
Georgia,
Guatemala,
Bolivia,
Poland,5
Hungary,5
Mexico,5
France,5
Ecuador,
Kazakhstan,
Honduras,
Ukraine,4
Russia,4
Japan,4
Chile,4
Brazil,4
Turkey,4
Uruguay,
Peru,3
Argentina,3
Dominican Republic,
Venezuela,
Micronesia,
Samoa,
São Tomé & Príncipe,
Faroe Islands,
Gambia,
Solomon Islands,
Antigua & Barbuda,
Namibia,
Fiji,
Dominica,
Liechtenstein,
Chad,
Iceland,
Guernsey,
Maldives,
Turks & Caicos Islands,
Grenada,
Timor-Leste,
Bermuda,
Cameroon,
Bahamas,
Cayman Islands,
South Sudan,
Belize,
Seychelles,
Luxembourg,
Sierra Leone,
Afghanistan,
Macao,
Trinidad & Tobago,
Benin,
North Macedonia,
Kosovo,
Liberia,
Guyana,
Barbados,
Niger,
Libya,
Guam,
Albania,
Suriname,
Senegal,
Mongolia,
U.S. Virgin Islands,
Gibraltar,
Yemen,
St. Vincent & Grenadines,
Bosnia & Herzegovina,
Congo - Kinshasa,
Moldova,
St. Lucia,
Mauritania,
Cuba,
Angola,
Curaçao,
Andorra,
French Guiana,
Panama,
Mozambique,
Montenegro,
Isle of Man,
Madagascar,
French Polynesia,
Guadeloupe,
Gabon,
New Caledonia,
Armenia,
El Salvador,
Burkina Faso,
Kyrgyzstan,
Mali,
Haiti,
Tajikistan,
Paraguay,
Côte d’Ivoire,
Réunion,
Nicaragua,
Aruba,
Anguilla,
Åland Islands,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Caribbean Netherlands,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Christmas Island,
Djibouti,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Guinea,
Guinea-Bissau,
Equatorial Guinea,
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Kitts & Nevis,
St. Martin,
Monaco,
Marshall Islands,
Northern Mariana Islands,
Montserrat,
Martinique,
Mayotte,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
St. Pierre & Miquelon,
Sint Maarten,
Togo,
Tokelau,
Turkmenistan,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
