Seconds,Car,Truck,Bus,Motorcycle,Total Vehicles
1,12,1,0,0,13
2,12,1,0,0,13
3,10,2,0,0,12
4,9,3,1,0,13
5,10,2,1,0,13
6,11,1,0,0,12
7,7,4,0,0,11
8,10,1,0,0,11
9,7,1,0,0,8
10,8,0,0,0,8
11,9,0,0,0,9
12,9,0,0,0,9
13,7,1,0,0,8
14,7,1,1,0,9
15,10,1,2,0,13
16,12,2,0,0,14
17,11,1,0,0,12
18,12,1,0,0,13
19,11,0,0,0,11
20,12,1,0,0,13
21,12,3,0,0,15
22,12,2,0,0,14
23,11,2,0,0,13
24,10,3,0,0,13
25,13,1,0,0,14
26,12,1,0,0,13
27,10,2,0,0,12
28,13,2,0,0,15
29,11,3,0,0,14
30,15,2,1,0,18
31,14,0,1,0,15
32,12,1,1,0,14
33,12,2,0,0,14
34,12,1,0,0,13
35,15,1,0,0,16
36,14,1,0,0,15
37,12,1,0,0,13
38,14,1,0,0,15
39,14,0,0,0,14
40,14,1,0,0,15
41,16,0,0,0,16
42,16,0,0,0,16
43,15,0,0,0,15
44,15,2,0,0,17
45,16,0,0,0,16
46,15,0,0,0,15
47,14,1,0,0,15
48,12,0,0,0,12
49,12,0,0,0,12
50,15,0,0,0,15
51,14,0,0,0,14
52,15,0,0,0,15
53,16,0,0,0,16
54,11,2,0,0,13
55,13,1,0,0,14
56,11,0,0,0,11
57,8,0,0,0,8
58,10,0,0,0,10
59,10,1,0,0,11
60,11,1,0,0,12
61,8,1,0,0,9
62,9,1,0,0,10
63,8,2,0,0,10
64,12,1,0,0,13
65,13,1,0,0,14
66,16,1,0,0,17
67,13,1,0,0,14
68,15,1,0,0,16
69,16,0,0,0,16
70,12,0,2,0,14
71,12,1,2,0,15
72,10,2,1,0,13
73,12,1,0,0,13
74,13,1,0,0,14
75,12,3,0,0,15
76,14,1,0,0,15
77,15,0,0,0,15
78,15,1,0,0,16
79,14,0,0,0,14
80,14,1,0,0,15
81,14,0,0,0,14
82,13,1,0,0,14
83,12,0,0,0,12
84,14,0,0,0,14
85,16,0,0,0,16
86,17,0,0,0,17
87,16,0,0,0,16
88,16,0,0,0,16
89,15,1,0,0,16
90,13,1,0,0,14
91,16,0,0,0,16
92,13,2,0,0,15
93,12,0,0,0,12
94,12,0,0,0,12
95,12,1,0,0,13
96,12,1,0,0,13
97,9,1,0,0,10
98,13,1,0,0,14
99,15,1,0,0,16
100,14,1,0,0,15
101,13,1,0,0,14
102,15,1,0,0,16
103,15,2,0,0,17
104,11,1,0,0,12
105,13,1,1,0,15
106,14,2,1,0,17
107,11,0,1,0,12
108,12,1,0,0,13
109,13,2,0,0,15
110,14,1,0,0,15
111,15,1,0,0,16
112,15,1,1,0,17
113,13,2,0,0,15
114,12,1,1,0,14
115,12,1,0,0,13
116,12,2,0,0,14
117,14,1,0,0,15
118,15,0,0,0,15
119,14,0,0,0,14
120,16,0,0,0,16
121,19,0,0,0,19
122,19,0,0,0,19
123,16,2,0,0,18
124,12,1,0,0,13
125,11,1,1,0,13
126,14,2,1,0,17
127,14,1,0,0,15
128,14,3,0,0,17
129,17,3,0,0,20
130,15,2,0,0,17
131,16,3,0,0,19
132,13,3,0,0,16
133,16,2,0,0,18
134,18,2,0,0,20
135,15,2,1,0,18
136,17,2,1,0,20
137,17,1,0,0,18
138,18,1,0,0,19
139,18,1,0,0,19
140,19,0,0,0,19
141,20,0,0,0,20
142,20,0,0,0,20
143,16,0,0,0,16
144,15,0,0,0,15
145,16,0,1,0,17
146,16,0,1,0,17
147,22,0,1,0,23
148,21,0,0,0,21
149,19,0,0,0,19
150,19,1,0,0,20
151,15,0,0,0,15
152,16,0,0,0,16
153,16,0,0,0,16
154,13,1,0,0,14
155,15,1,0,0,16
156,14,1,0,0,15
157,14,2,0,0,16
158,11,2,1,0,14
159,11,2,0,0,13
160,9,3,0,0,12
161,13,1,0,0,14
162,11,1,0,0,12
163,11,0,0,0,11
164,9,0,0,0,9
165,10,0,0,1,11
166,11,0,0,0,11
167,13,1,0,0,14
168,13,0,0,0,13
169,11,0,0,0,11
170,12,0,0,0,12
171,12,0,0,0,12
172,12,0,0,0,12
173,12,0,0,0,12
174,11,2,0,0,13
175,8,1,0,0,9
176,9,1,0,0,10
177,10,1,0,0,11
178,15,1,0,0,16
179,10,1,0,0,11
180,16,0,0,0,16
181,13,1,0,0,14
182,17,0,0,0,17
183,16,0,0,0,16
184,12,1,0,0,13
185,14,0,0,0,14
186,15,0,0,0,15
187,14,0,0,0,14
188,16,0,0,0,16
189,13,0,0,0,13
190,17,0,0,0,17
191,10,0,0,0,10
192,12,2,0,0,14
193,14,0,0,0,14
194,11,1,1,0,13
195,11,0,1,0,12
196,8,1,0,0,9
197,8,3,0,0,11
198,12,2,0,0,14
199,11,3,0,0,14
200,14,1,0,0,15
201,11,2,0,0,13
202,12,0,0,0,12
203,14,1,0,0,15
204,11,1,0,0,12
205,13,0,0,0,13
206,13,0,0,0,13
207,13,0,0,0,13
208,14,1,0,0,15
209,14,0,0,0,14
210,13,1,0,0,14
211,12,1,0,0,13
212,13,0,0,0,13
213,10,0,0,0,10
214,11,0,0,0,11
215,10,0,0,0,10
216,10,0,0,0,10
217,9,2,0,0,11
218,9,0,0,0,9
219,11,0,0,0,11
220,9,0,0,0,9
221,11,0,0,0,11
222,9,0,0,0,9
223,9,1,0,0,10
224,9,2,0,0,11
225,10,0,0,0,10
226,8,0,0,0,8
227,9,2,0,0,11
228,13,1,0,0,14
229,11,1,0,0,12
230,11,2,0,0,13
231,12,2,0,0,14
232,10,1,0,0,11
233,13,0,0,0,13
234,13,1,0,0,14
235,10,2,0,1,13
236,9,1,0,0,10
237,7,0,0,0,7
238,8,0,0,0,8
239,10,0,0,0,10
240,11,1,0,0,12
241,11,0,0,0,11
242,10,1,0,0,11
243,14,1,0,0,15
244,9,0,1,0,10
245,9,1,1,0,11
246,7,1,0,0,8
247,6,1,0,0,7
248,8,1,0,0,9
249,8,0,0,0,8
250,7,2,0,0,9
251,7,0,0,0,7
252,8,0,0,0,8
253,8,2,0,0,10
254,8,2,1,0,11
255,8,2,1,0,11
256,8,2,1,0,11
257,9,1,0,1,11
258,11,2,0,1,14
259,10,0,0,0,10
260,11,0,0,0,11
261,13,1,0,0,14
262,11,1,0,0,12
263,9,1,0,0,10
264,11,0,0,0,11
265,12,0,0,0,12
266,13,0,0,0,13
267,10,0,0,0,10
268,6,1,0,0,7
269,6,1,0,0,7
270,11,0,1,0,12
